Source,SetName
Senbabaoslu,Angiogenesis
Senbabaoslu,APM1
Senbabaoslu,APM2
Wolf,ICS5_score
Wolf,LIexpression_score
Wolf,Chemokine12_score
Wolf,NHI_5gene_score
Wolf,CD68
Wolf,CD8A
Wolf,PD1_data
Wolf,PDL1_data
Wolf,PD1_PDL1_score
Wolf,CTLA4_data
Wolf,Bcell_mg_IGJ
Wolf,Bcell_receptors_score
Wolf,STAT1_score
Wolf,CSF1_response
Wolf,TcClassII_score
Wolf,IL12_score_21050467
Wolf,IL4_score_21050467
Wolf,IL2_score_21050467
Wolf,IL13_score_21050467
Wolf,IFNG_score_21050467
Wolf,TGFB_score_21050467
Wolf,TREM1_data
Wolf,DAP12_data
Wolf,Tcell_receptors_score
Wolf,IL8_21978456
Wolf,IFN_21978456
Wolf,MHC1_21978456
Wolf,MHC2_21978456
Wolf,Bcell_21978456
Wolf,Tcell_21978456
Wolf,CD103pos_mean_25446897
Wolf,CD103neg_mean_25446897
Wolf,IgG_19272155
Wolf,Interferon_19272155
Wolf,LCK_19272155
Wolf,MHC.I_19272155
Wolf,MHC.II_19272155
Wolf,STAT1_19272155
Wolf,Troester_WoundSig_19887484
Wolf,MDACC.FNA.1_20805453
Wolf,IGG_Cluster_21214954
Wolf,Minterferon_Cluster_21214954
Wolf,Immune_cell_Cluster_21214954
Wolf,MCD3_CD8_21214954
Wolf,Interferon_Cluster_21214954
Wolf,B_cell_PCA_16704732
Wolf,CD8_PCA_16704732
Wolf,GRANS_PCA_16704732
Wolf,LYMPHS_PCA_16704732
Wolf,T_cell_PCA_16704732
Wolf,TGFB_PCA_17349583
Wolf,Rotterdam_ERneg_PCA_15721472
Wolf,HER2_Immune_PCA_18006808
Wolf,IR7_score
Wolf,Buck14_score
Wolf,TAMsurr_score
Wolf,Immune_NSCLC_score
Wolf,Module3_IFN_score
Wolf,Module4_TcellBcell_score
Wolf,Module5_TcellBcell_score
Wolf,Module11_Prolif_score
Wolf,GP11_Immune_IFN
Wolf,GP2_ImmuneTcellBcell_score
Wolf,CD8_CD68_ratio
Wolf,TAMsurr_TcClassII_ratio
Wolf,CHANG_CORE_SERUM_RESPONSE_UP
Wolf,CSR_Activated_15701700
Wolf,CD103pos_CD103neg_ratio_25446897
Attractors,LYM
Attractors,IFIT3
Attractors,G_GIMAP4
Attractors,G_HLA.DPA1
Attractors,G_SLAMF6
Attractors,G_LILRB4
Attractors,G_SIGLEC9
Attractors,G_CYTH4
Attractors,G_CD3E
ICR,ICR_SCORE
ICR,ICR_INHIB_SCORE
ICR,ICR_ACT_SCORE
c7atoms,C7_Atom_1
c7atoms,C7_Atom_2
c7atoms,C7_Atom_3
c7atoms,C7_Atom_4
c7atoms,C7_Atom_5
c7atoms,C7_Atom_6
c7atoms,C7_Atom_7
c7atoms,C7_Atom_8
c7atoms,C7_Atom_9
c7atoms,C7_Atom_10
c7atoms,C7_Atom_11
c7atoms,C7_Atom_12
c7atoms,C7_Atom_13
c7atoms,C7_Atom_14
c7atoms,C7_Atom_15
c7atoms,C7_Atom_16
c7atoms,C7_Atom_17
c7atoms,C7_Atom_18
c7atoms,C7_Atom_19
c7atoms,C7_Atom_20
c7atoms,C7_Atom_21
c7atoms,C7_Atom_22
c7atoms,C7_Atom_23
c7atoms,C7_Atom_24
c7atoms,C7_Atom_25
c7atoms,C7_Atom_26
c7atoms,C7_Atom_27
c7atoms,C7_Atom_28
c7atoms,C7_Atom_29
c7atoms,C7_Atom_30
c7atoms,C7_Atom_31
c7atoms,C7_Atom_32
Bindea,aDC
Bindea,B cells
Bindea,CD8 T cells
Bindea,Cytotoxic cells
Bindea,DC
Bindea,Eosinophils
Bindea,iDC
Bindea,Lymph vessels
Bindea,Macrophages
Bindea,Mast cells
Bindea,Neutrophils
Bindea,NK CD56bright cells
Bindea,NK CD56dim cells
Bindea,NK cells
Bindea,pDC
Bindea,T cells
Bindea,T helper cells
Bindea,Tcm cells
Bindea,Tem cells
Bindea,Tfh cells
Bindea,Tgd cells
Bindea,Th1 cells
Bindea,Th17 cells
Bindea,Th2 cells
Bindea,Treg cells
Cibersort,B.cells.naive
Cibersort,B.cells.memory
Cibersort,Plasma.cells
Cibersort,T.cells.CD8
Cibersort,T.cells.CD4.naive
Cibersort,T.cells.CD4.memory.resting
Cibersort,T.cells.CD4.memory.activated
Cibersort,T.cells.follicular.helper
Cibersort,T.cells.regulatory..Tregs.
Cibersort,T.cells.gamma.delta
Cibersort,NK.cells.resting
Cibersort,NK.cells.activated
Cibersort,Monocytes
Cibersort,Macrophages.M0
Cibersort,Macrophages.M1
Cibersort,Macrophages.M2
Cibersort,Dendritic.cells.resting
Cibersort,Dendritic.cells.activated
Cibersort,Mast.cells.resting
Cibersort,Mast.cells.activated
